wing_length,age,fat,lean,sex,morph
NA,NA,3.57,20.3,NA,1
NA,NA,7.02,20.33,NA,1
NA,NA,2.88,21.78,NA,0
NA,NA,5.57,19.2,NA,0
NA,NA,NA,NA,NA,1
NA,NA,2,20.09,NA,0
NA,NA,3.59,20.57,NA,0
71,1,6.2,19.85,0,1
NA,NA,0.83,17.07,NA,1
NA,NA,3.48,19.14,NA,1
NA,NA,2.37,20.76,NA,0
NA,NA,6.99,21.31,NA,0
70,1,5.7,18.66,0,0
NA,NA,2.53,21.35,NA,0
NA,NA,1.92,19.07,NA,0
NA,NA,2.86,19.23,NA,1
NA,NA,2.29,20.96,NA,0
NA,NA,1.8,20.22,NA,0
NA,NA,4.34,21.38,NA,0
NA,NA,4.16,20.49,NA,0
71,1,7.97,21.03,0,1
NA,NA,4.41,20.12,NA,0
NA,NA,5.03,19.37,NA,0
NA,NA,2.9,18.93,NA,0
NA,NA,4.46,20.59,NA,1
NA,NA,4.26,18.84,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,0
NA,NA,4.31,20.16,NA,0
NA,NA,3.89,17.78,NA,1
NA,NA,4.32,18.72,NA,0
NA,NA,NA,NA,NA,1
NA,NA,5.27,19.84,NA,1
NA,NA,5.07,18.76,NA,0
NA,NA,4.23,18.36,NA,0
NA,NA,5.83,19.93,NA,1
NA,NA,5.27,20.03,NA,0
NA,NA,4.9,20.03,NA,0
74,0,2.65,18.37,1,0
74,1,3.18,19.27,0,0
NA,NA,5.41,19.44,NA,0
NA,NA,3.96,19.86,NA,0
NA,NA,5.05,20.26,NA,1
NA,NA,NA,NA,NA,1
NA,NA,4.39,19.59,NA,0
NA,NA,1.25,22.88,NA,1
NA,NA,5.4,20.25,NA,0
NA,NA,2.69,19.76,NA,1
NA,NA,3.16,20.8,NA,0
NA,NA,1.47,17.3,NA,1
NA,NA,2.43,19.48,NA,0
NA,NA,3.68,19.74,NA,1
NA,NA,2.31,19.45,NA,1
NA,NA,1.42,21.06,NA,0
NA,NA,0.67,18.93,NA,0
NA,NA,4.43,19.24,NA,0
NA,NA,-0.09,20.57,NA,0
NA,NA,4.48,18.51,NA,1
NA,NA,3.23,19.69,NA,1
